Latitude,Longitude,,,
45 41 65.59,-110 54 72.66,,,
45 41 64.65,-110 54 71.96,,,
45 41 63.71,-110 54 71.25,,,
45 41 62.76,-110 54 70.55,,,
45 41 61.81,-110 54 69.89,,,
45 41 60.87,-110 54 69.93,,,
45 41 59.94,-110 54 68.81,,,
45 41 59.59,-110 54 68.37,,,
45 41 58.07,-110 54 67.99,,,
45 41 57.16,-110 54 67.63,,,
45 41 56.27,-110 54 67.31,,,
45 41 55.54,-110 54 67.01,,,
45 41 54.54,-110 54 66.79,,,
45 41 53.71,-110 54 66.69,,,
45 41 52.89,-110 54 66.69,,,
45 41 52.09,-110 54 66.81,,,
45 41 51.34,-110 54 67.08,,,
45 41 50.63,-110 54 67.75,,,
45 41 49.96,-110 54 68.05,,,
45 41 49.29,-110 54 68.69,,,
45 41 48.61,-110 54 69.39,,,
45 41 47.79,-110 54 70.13,,,
45 41 47.17,-110 54 70.09,,,
45 41 46.43,-110 54 71.17,,,
45 41 45.69,-110 54 72.49,,,
45 41 44.95,-110 54 73.22,,,
45 41 44.21,-110 54 73.86,,,
45 41 43.46,-110 54 74.42,,,
45 41 42.67,-110 54 74.92,,,
45 41 41.83,-110 54 75.35,,,
45 41 40.94,-110 54 75.75,,,
45 41 39.99,-110 54 76.15,,,
45 41 39.39,-110 54 76.57,,,
45 41 37.97,-110 54 77.77,,,
45 41 36.92,-110 54 77.44,,,
45 41 35.84,-110 54 77.88,,,
45 41 34.74,-110 54 78.34,,,
45 41 33.62,-110 54 78.81,,,
45 41 32.48,-110 54 79.28,,,
45 41 31.33,-110 54 79.75,,,
45 41 30.18,-110 54 80.22,,,
45 41 29.03,-110 54 80.68,,,
45 41 27.88,-110 54 81.12,,,
45 41 26.75,-110 54 81.57,,,
45 41 25.63,-110 54 82.03,,,
45 41 24.53,-110 54 82.49,,,
45 41 23.45,-110 54 82.95,,,
45 41 22.39,-110 54 83.34,,,
45 41 21.35,-110 54 83.89,,,
45 41 20.31,-110 54 84.42,,,
45 41 19.93,-110 54 85.85,,,
45 41 18.83,-110 54 85.61,,,
45 41 17.31,-110 54 86.24,,,
45 41 16.34,-110 54 86.87,,,
45 41 15.39,-110 54 87.46,,,
45 41 14.48,-110 54 88.88,,,
45 41 13.56,-110 54 88.49,,,
45 41 12.63,-110 54 88.89,,,
45 41 11.67,-110 54 89.19,,,
45 41 10.72,-110 54 89.35,,,
45 41 98.81,-110 54 89.35,,,
45 41 89.97,-110 54 89.16,,,
45 41 81.19,-110 54 88.74,,,
45 41 74.43,-110 54 88.16,,,
45 41 66.66,-110 54 87.54,,,
45 41 58.82,-110 54 86.96,,,
45 41 49.92,-110 54 86.49,,,
45 41 39.96,-110 54 86.15,,,
45 41 29.94,-110 54 85.99,,,
45 41 18.89,-110 54 85.95,,,
45 41 81.81,-110 54 85.97,,,
45 40 99.72,-110 54 86.01,,,
45 40 98.63,-110 54 86.05,,,
45 40 97.58,-110 54 86.61,,,
45 40 96.57,-110 54 86.17,,,
45 40 95.56,-110 54 86.28,,,
45 40 94.66,-110 54 86.51,,,
45 40 93.74,-110 54 86.94,,,
45 40 92.89,-110 54 87.76,,,
45 40 92.11,-110 54 88.48,,,
45 40 91.44,-110 54 89.53,,,
45 40 90.92,-110 54 90.73,,,
45 40 90.56,-110 54 92.05,,,
45 40 90.26,-110 54 93.43,,,
45 40 89.96,-110 54 94.83,,,
45 40 89.64,-110 54 96.24,,,
45 40 89.26,-110 54 97.76,,,
45 40 88.74,-110 54 98.85,,,
45 40 88.08,-110 54 99.93,,,
45 40 87.32,-110 55 87.87,,,
45 40 86.51,-110 55 17.75,,,
45 40 85.68,-110 55 26.26,,,
45 40 84.84,-110 55 34.42,,,
45 40 84.84,-110 55 42.22,,,
45 40 83.16,-110 55 50.02,,,
45 40 82.29,-110 55 57.75,,,
45 40 81.39,-110 55 63.38,,,
45 40 80.44,-110 55 68.83,,,
45 40 79.45,-110 55 71.71,,,
45 40 78.44,-110 55 72.21,,,
45 40 77.42,-110 55 72.24,,,
45 40 76.41,-110 55 73.31,,,
45 40 75.41,-110 55 75.58,,,
45 40 74.46,-110 55 80.09,,,
45 40 73.56,-110 55 88.82,,,
45 40 72.71,-110 55 96.68,,,
45 40 71.87,-110 55 10.58,,,
45 40 71.04,-110 55 11.15,,,
45 40 70.26,-110 55 12.53,,,
45 40 69.59,-110 55 13.72,,,
45 40 69.08,-110 55 15.03,,,
45 40 68.69,-110 55 16.44,,,
45 40 68.37,-110 55 17.79,,,
45 40 68.04,-110 55 19.39,,,
