Latitude,Longitude
48 25 22.62,-107 9 65.09
48 25 21.36,-107 9 63.25
48 25 20.12,-107 9 6.14
48 25 18.87,-107 9 59.56
48 25 17.63,-107 9 57.73
48 25 16.39,-107 9 5.59
48 25 15.15,-107 9 54.07
48 25 1.39,-107 9 52.24
48 25 12.66,-107 9 50.41
48 25 11.42,-107 9 48.59
48 25 10.19,-107 9 46.77
48 25 8.95,-107 9 44.95
48 25 7.72,-107 9 43.12
48 25 6.47,-107 9 41.29
48 25 5.21,-107 9 39.43
48 25 3.95,-107 9 37.55
48 25 2.67,-107 9 35.65
48 25 1.38,-107 9 33.74
48 25 70,-107 9 31.81
48 24 98.75,-107 9 29.86
48 24 97.42,-107 9 27.89
48 24 96.09,-107 9 25.93
48 24 94.76,-107 9 23.98
48 24 93.43,-107 9 22.03
48 24 92.09,-107 9 20.07
48 24 90.74,-107 9 18.11
48 24 8.94,-107 9 16.15
48 24 88.06,-107 9 14.19
48 24 86.72,-107 9 12.23
48 24 85.38,-107 9 10.28
48 24 84.04,-107 9 8.33
48 24 82.71,-107 9 6.38
48 24 81.38,-107 9 4.42
48 24 80.06,-107 9 2.46
48 24 78.75,-107 9 4.9
48 24 77.43,-107 8 98.53
48 24 76.12,-107 8 96.57
48 24 74.81,-107 8 94.62
48 24 73.49,-107 8 92.69
48 24 72.16,-107 8 90.75
48 24 70.84,-107 8 88.81
48 24 69.52,-107 8 86.87
48 24 68.19,-107 8 84.92
48 24 66.87,-107 8 82.96
48 24 65.54,-107 8 8.1
48 24 64.21,-107 8 79.05
48 24 62.89,-107 8 77.09
48 24 61.56,-107 8 75.12
48 24 60.23,-107 8 73.15
48 24 58.91,-107 8 7.12
48 24 57.57,-107 8 69.25
48 24 56.25,-107 8 67.28
48 24 54.95,-107 8 65.29
48 24 53.67,-107 8 63.25
48 24 52.44,-107 8 61.17
48 24 51.23,-107 8 59.04
48 24 50.06,-107 8 56.88
48 24 48.91,-107 8 54.69
48 24 47.78,-107 8 52.47
48 24 46.68,-107 8 50.22
48 24 45.61,-107 8 47.93
48 24 44.58,-107 8 45.62
48 24 43.58,-107 8 43.27
48 24 42.61,-107 8 40.89
48 24 41.67,-107 8 38.48
48 24 40.75,-107 8 36.05
48 24 39.87,-107 8 3.36
48 24 39.02,-107 8 31.12
48 24 38.22,-107 8 28.61
48 24 37.45,-107 8 26.08
48 24 36.71,-107 8 23.53
48 24 36.01,-107 8 20.96
48 24 35.36,-107 8 18.36
48 24 34.73,-107 8 15.74
48 24 34.12,-107 8 13.11
48 24 33.53,-107 8 10.47
48 24 32.94,-107 8 7.82
48 24 32.35,-107 8 5.18
48 24 31.75,-107 8 2.54
48 24 31.15,-107 7 9.99
48 24 30.55,-107 7 97.27
48 24 29.95,-107 7 94.63
48 24 29.35,-107 7 91.99
48 24 28.75,-107 7 89.35
48 24 28.16,-107 7 8.67
48 24 27.56,-107 7 84.07
48 24 26.95,-107 7 81.44
48 24 26.34,-107 7 78.81
48 24 25.74,-107 7 76.18
48 24 25.13,-107 7 73.55
48 24 24.53,-107 7 70.93
48 24 23.93,-107 7 6.83
48 24 23.33,-107 7 65.66
48 24 22.73,-107 7 63.03
48 24 22.14,-107 7 60.39
48 24 21.54,-107 7 57.74
48 24 20.95,-107 7 5.51
48 24 20.34,-107 7 52.46
48 24 19.73,-107 7 49.82
48 24 19.12,-107 7 47.18
48 24 18.51,-107 7 44.54
48 24 1.79,-107 7 4.19
48 24 17.29,-107 7 39.26
48 24 16.69,-107 7 36.63
48 24 16.08,-107 7 3.4
48 24 15.49,-107 7 31.37
48 24 1.49,-107 7 28.74
48 24 1.43,-107 7 26.12
48 24 13.69,-107 7 2.35
48 24 13.08,-107 7 20.89
48 24 12.47,-107 7 18.27
48 24 11.87,-107 7 15.64
48 24 11.27,-107 7 13.01
48 24 10.67,-107 7 10.38
48 24 10.07,-107 7 7.75
48 24 9.47,-107 7 5.12
48 24 8.87,-107 7 2.49
48 24 8.26,-107 6 99.86
48 24 7.67,-107 6 97.23
48 24 7.07,-107 6 9.46
48 24 6.46,-107 6 91.98
48 24 5.85,-107 6 89.36
48 24 5.24,-107 6 86.74
48 24 4.63,-107 6 84.13
48 24 4.03,-107 6 81.51
48 24 3.43,-107 6 7.89
48 24 2.83,-107 6 76.29
48 24 2.23,-107 6 73.68
48 24 1.64,-107 6 71.07
48 24 1.05,-107 6 68.46
48 24 4.5,-107 6 65.85
48 23 99.85,-107 6 63.24
48 23 99.25,-107 6 60.63
48 23 98.66,-107 6 58.07
48 23 98.08,-107 6 55.56
48 23 97.51,-107 6 5.31
48 23 96.94,-107 6 50.69
48 23 96.39,-107 6 48.33
48 23 95.84,-107 6 46.02
48 23 95.28,-107 6 43.74
48 23 9.47,-107 6 41.47
48 23 94.09,-107 6 39.22
48 23 93.44,-107 6 36.97
48 23 92.75,-107 6 34.75
48 23 92.04,-107 6 32.52
48 23 91.32,-107 6 3.03
48 23 9.06,-107 6 28.08
48 23 89.89,-107 6 25.86
48 23 89.19,-107 6 23.65
48 23 88.48,-107 6 21.44
48 23 87.77,-107 6 19.24
48 23 87.06,-107 6 17.05
48 23 86.35,-107 6 14.86
48 23 85.64,-107 6 12.67
48 23 84.93,-107 6 10.48
48 23 84.23,-107 6 8.28
48 23 83.51,-107 6 6.08
48 23 8.28,-107 6 3.88
48 23 82.08,-107 6 1.67
48 23 81.37,-107 5 99.46
48 23 80.65,-107 5 97.25
48 23 79.93,-107 5 95.04
48 23 79.22,-107 5 92.83
48 23 78.52,-107 5 90.62
48 23 77.81,-107 5 88.41
48 23 77.11,-107 5 86.21
48 23 76.41,-107 5 84.01
48 23 75.72,-107 5 81.81
48 23 75.01,-107 5 7.96
48 23 74.31,-107 5 77.41
48 23 73.61,-107 5 75.21
48 23 7.29,-107 5 73.01
48 23 7.22,-107 5 70.81
48 23 71.49,-107 5 68.61
48 23 70.78,-107 5 66.41
48 23 70.07,-107 5 6.42
48 23 69.36,-107 5 6.2
48 23 68.65,-107 5 59.78
48 23 67.95,-107 5 57.57
48 23 67.24,-107 5 55.36
48 23 66.53,-107 5 53.16
48 23 65.82,-107 5 50.98
48 23 65.13,-107 5 48.85
48 23 64.46,-107 5 46.76
48 23 6.38,-107 5 44.71
48 23 63.15,-107 5 42.72
48 23 62.53,-107 5 40.81
48 23 61.96,-107 5 39.02
48 23 61.41,-107 5 37.32
48 23 60.88,-107 5 35.68
48 23 60.38,-107 5 34.09
48 23 59.89,-107 5 32.56
48 23 59.42,-107 5 31.07
48 23 58.95,-107 5 29.61
48 23 58.48,-107 5 28.13
48 23 58.01,-107 5 26.63
48 23 57.51,-107 5 25.13
48 23 57.02,-107 5 23.62
48 23 56.52,-107 5 22.11
48 23 56.04,-107 5 20.61
48 23 55.56,-107 5 19.11
48 23 55.09,-107 5 17.64
48 23 54.62,-107 5 1.62
48 23 54.17,-107 5 14.77
48 23 53.72,-107 5 13.36
48 23 53.27,-107 5 11.95
48 23 52.81,-107 5 10.55
48 23 52.36,-107 5 9.14
48 23 5.19,-107 5 7.73
48 23 51.45,-107 5 6.32
48 23 50.99,-107 5 4.9
48 23 50.53,-107 5 3.49
48 23 50.06,-107 5 2.05
48 23 49.59,-107 5 5.8
48 23 49.11,-107 4 99.09
48 23 48.62,-107 4 97.56
48 23 48.13,-107 4 96.01
48 23 47.63,-107 4 94.43
48 23 47.13,-107 4 92.85
48 23 46.62,-107 4 91.26
48 23 46.11,-107 4 89.65
48 23 45.58,-107 4 88.01
48 23 45.06,-107 4 86.33
48 23 44.55,-107 4 84.58
48 23 44.06,-107 4 82.78
48 23 4.36,-107 4 80.92
48 23 43.17,-107 4 7.9
48 23 42.78,-107 4 77.03
48 23 42.42,-107 4 75.03
48 23 42.09,-107 4 72.98
48 23 41.81,-107 4 70.87
48 23 41.55,-107 4 68.71
48 23 41.33,-107 4 66.49
48 23 41.15,-107 4 64.23
48 23 41.04,-107 4 61.92
48 23 40.97,-107 4 59.57
